time,LineB2B5.P1Pu,case,parameter_value
0.0,0.3400127826966989,0p24,0.24
2.220446049250313e-16,0.3400127826966989,0p24,0.24
2.220446049250313e-16,0.3400127826966989,0p24,0.24
0.008999999999255305,0.3400128140933285,0p24,0.24
0.008999999999255305,0.3400128140933285,0p24,0.24
0.0139729186237293,0.3400128314261692,0p24,0.24
0.0139729186237293,0.3400128314261692,0p24,0.24
5.595281168031729,0.3400279542116838,0p24,0.24
5.595281168031729,0.3400279542116838,0p24,0.24
5.597481603396753,0.3400279586422198,0p24,0.24
5.597481603396753,0.3400279586422198,0p24,0.24
10.0,0.3400351973427057,0p24,0.24
15.73069005647561,0.3400411770653447,0p24,0.24
15.73069005647561,0.3400411770653447,0p24,0.24
15.7328235371394,0.3400411786130351,0p24,0.24
15.7328235371394,0.3400411786130351,0p24,0.24
20.0,0.3400435679857464,0p24,0.24
30.0,0.3400463399122599,0p24,0.24
40.0,0.3400477053917102,0p24,0.24
50.0,0.3400483236842451,0p24,0.24
60.0,0.3400486293703838,0p24,0.24
70.0,0.3400486968414074,0p24,0.24
80.0,0.3400486571478696,0p24,0.24
90.0,0.3400486284682678,0p24,0.24
100.0,0.3400486140722723,0p24,0.24
100.0000000200002,0.3400486140722722,0p24,0.24
100.0000000200002,0.6572052469316707,0p24,0.24
104.2932839039587,0.6581646942040028,0p24,0.24
104.2932839039587,0.6581646942040028,0p24,0.24
110.0,0.6589832766105287,0p24,0.24
120.0,0.6596728111398267,0p24,0.24
130.0,0.659931347800824,0p24,0.24
140.0,0.6600295644364449,0p24,0.24
150.0,0.6600665032780951,0p24,0.24
160.0,0.6600794740484388,0p24,0.24
170.0,0.6600844858442644,0p24,0.24
180.0,0.660086702714046,0p24,0.24
190.0,0.6600875888145745,0p24,0.24
200.0,0.6600880653083211,0p24,0.24
210.0,0.6600881540641449,0p24,0.24
220.0,0.6600882428199691,0p24,0.24
230.0,0.6600882792558422,0p24,0.24
240.0,0.6600883080043775,0p24,0.24
250.0,0.6600883196109728,0p24,0.24
260.0,0.660088325167382,0p24,0.24
270.0,0.6600883307237911,0p24,0.24
280.0,0.6600883362802002,0p24,0.24
290.0,0.6600883394866564,0p24,0.24
300.0,0.6600883400811317,0p24,0.24
310.0,0.6600883406756068,0p24,0.24
320.0,0.6600883412700823,0p24,0.24
330.0,0.6600883418645578,0p24,0.24
340.0,0.6600883424590329,0p24,0.24
350.0,0.6600883430535082,0p24,0.24
360.0,0.6600883436479835,0p24,0.24
370.0,0.660088344242459,0p24,0.24
380.0,0.6600883443082979,0p24,0.24
390.0,0.6600883443419054,0p24,0.24
400.0,0.6600883443755131,0p24,0.24
410.0,0.6600883444091209,0p24,0.24
420.0,0.6600883444427286,0p24,0.24
430.0,0.6600883444763364,0p24,0.24
440.0,0.6600883445099441,0p24,0.24
450.0,0.6600883445435518,0p24,0.24
460.0,0.6600883445771595,0p24,0.24
470.0,0.6600883446107673,0p24,0.24
480.0,0.6600883446443749,0p24,0.24
490.0,0.6600883446779828,0p24,0.24
500.0,0.6600883447115905,0p24,0.24
510.0,0.6600883447451982,0p24,0.24
520.0,0.6600883447788058,0p24,0.24
530.0,0.6600883448124135,0p24,0.24
540.0,0.6600883448460214,0p24,0.24
550.0,0.6600883448509014,0p24,0.24
560.0,0.6600883448518793,0p24,0.24
570.0,0.6600883448528571,0p24,0.24
580.0,0.6600883448538349,0p24,0.24
590.0,0.6600883448548128,0p24,0.24
600.0,0.6600883448557906,0p24,0.24
610.0,0.6600883448567685,0p24,0.24
620.0,0.6600883448577464,0p24,0.24
630.0,0.6600883448587243,0p24,0.24
640.0,0.660088344859702,0p24,0.24
650.0,0.6600883448606799,0p24,0.24
660.0,0.6600883448616578,0p24,0.24
670.0,0.6600883448626356,0p24,0.24
680.0,0.6600883448636135,0p24,0.24
690.0,0.6600883448645913,0p24,0.24
700.0,0.6600883448655691,0p24,0.24
710.0,0.6600883448665469,0p24,0.24
720.0,0.6600883448675248,0p24,0.24
730.0,0.6600883448685027,0p24,0.24
740.0,0.6600883448694804,0p24,0.24
750.0,0.6600883448704583,0p24,0.24
760.0,0.6600883448714362,0p24,0.24
770.0,0.6600883448724141,0p24,0.24
780.0,0.6600883448733919,0p24,0.24
790.0,0.6600883448743697,0p24,0.24
800.0,0.6600883448753475,0p24,0.24
810.0,0.6600883448763253,0p24,0.24
820.0,0.6600883448773032,0p24,0.24
830.0,0.660088344878281,0p24,0.24
840.0,0.6600883448792589,0p24,0.24
850.0,0.6600883448802366,0p24,0.24
860.0,0.6600883448812145,0p24,0.24
870.0,0.6600883448821924,0p24,0.24
880.0,0.6600883448831701,0p24,0.24
890.0,0.6600883448834197,0p24,0.24
900.0,0.660088344883434,0p24,0.24
910.0,0.6600883448834486,0p24,0.24
920.0,0.6600883448834629,0p24,0.24
930.0,0.6600883448834775,0p24,0.24
940.0,0.6600883448834918,0p24,0.24
950.0,0.6600883448835061,0p24,0.24
960.0,0.6600883448835209,0p24,0.24
970.0,0.6600883448835352,0p24,0.24
980.0,0.6600883448835497,0p24,0.24
990.0,0.660088344883564,0p24,0.24
1000.0,0.6600883448835785,0p24,0.24
1010.0,0.6600883448835929,0p24,0.24
1020.0,0.6600883448836073,0p24,0.24
1030.0,0.6600883448836218,0p24,0.24
1040.0,0.6600883448836362,0p24,0.24
1050.0,0.6600883448836506,0p24,0.24
1060.0,0.6600883448836651,0p24,0.24
1070.0,0.6600883448836796,0p24,0.24
1080.0,0.6600883448836941,0p24,0.24
1090.0,0.6600883448837085,0p24,0.24
1100.0,0.6600883448837228,0p24,0.24
1110.0,0.6600883448837374,0p24,0.24
1120.0,0.6600883448837517,0p24,0.24
1130.0,0.6600883448837663,0p24,0.24
1140.0,0.6600883448837807,0p24,0.24
1150.0,0.6600883448837951,0p24,0.24
1160.0,0.6600883448838095,0p24,0.24
1170.0,0.6600883448838238,0p24,0.24
1180.0,0.6600883448838384,0p24,0.24
1190.0,0.6600883448838527,0p24,0.24
1200.0,0.6600883448838671,0p24,0.24
1210.0,0.6600883448838816,0p24,0.24
1220.0,0.6600883448838962,0p24,0.24
1230.0,0.6600883448839107,0p24,0.24
1240.0,0.6600883448839251,0p24,0.24
1250.0,0.6600883448839394,0p24,0.24
1260.0,0.660088344883954,0p24,0.24
1270.0,0.6600883448839683,0p24,0.24
1280.0,0.6600883448839827,0p24,0.24
1290.0,0.6600883448839971,0p24,0.24
1300.0,0.6600883448840115,0p24,0.24
1310.0,0.6600883448840261,0p24,0.24
1320.0,0.6600883448840404,0p24,0.24
1330.0,0.660088344884055,0p24,0.24
1340.0,0.6600883448840693,0p24,0.24
1350.0,0.6600883448840839,0p24,0.24
1360.0,0.6600883448840983,0p24,0.24
1370.0,0.6600883448841127,0p24,0.24
1380.0,0.6600883448841272,0p24,0.24
1390.0,0.6600883448841415,0p24,0.24
1400.0,0.660088344884156,0p24,0.24
1410.0,0.6600883448841705,0p24,0.24
1420.0,0.6600883448841849,0p24,0.24
1430.0,0.6600883448841993,0p24,0.24
1440.0,0.6600883448842138,0p24,0.24
1450.0,0.6600883448842281,0p24,0.24
1460.0,0.6600883448842426,0p24,0.24
1470.0,0.6600883448842569,0p24,0.24
1480.0,0.6600883448842717,0p24,0.24
1490.0,0.660088344884286,0p24,0.24
1500.0,0.6600883448843003,0p24,0.24
1510.0,0.6600883448843149,0p24,0.24
1520.0,0.6600883448843292,0p24,0.24
1530.0,0.6600883448843438,0p24,0.24
1540.0,0.6600883448843581,0p24,0.24
1550.0,0.6600883448843725,0p24,0.24
1560.0,0.660088344884387,0p24,0.24
1570.0,0.660088344884394,0p24,0.24
1580.0,0.6600883448843942,0p24,0.24
1590.0,0.6600883448843944,0p24,0.24
1600.0,0.6600883448843945,0p24,0.24
1610.0,0.6600883448843946,0p24,0.24
1620.0,0.6600883448843947,0p24,0.24
1630.0,0.6600883448843948,0p24,0.24
1640.0,0.6600883448843949,0p24,0.24
1650.0,0.660088344884395,0p24,0.24
1660.0,0.6600883448843952,0p24,0.24
