time,LineB2B5.P1Pu,case,parameter_value
0.0,0.5073406206090376,0p12,0.12
2.220446049250313e-16,0.5073406206419253,0p12,0.12
2.220446049250313e-16,0.507340620674813,0p12,0.12
0.008333333333333555,0.5073406623237585,0p12,0.12
0.008333333333333555,0.5073406623566462,0p12,0.12
0.01331245818462047,0.5073406872081874,0p12,0.12
0.01331245818462047,0.5073406872410751,0p12,0.12
5.84024002954151,0.5073630934760818,0p12,0.12
5.84024002954151,0.5073630935089722,0p12,0.12
5.842317809104696,0.5073630993332008,0p12,0.12
5.842317809104696,0.5073630993660914,0p12,0.12
10.0,0.5073722212997966,0p12,0.12
20.0,0.5073842305604341,0p12,0.12
30.0,0.5073895003857545,0p12,0.12
40.0,0.5073913981951904,0p12,0.12
48.20295451523501,0.507391907034729,0p12,0.12
48.20295451523501,0.5073919070676232,0p12,0.12
48.20385291896205,0.5073919070518714,0p12,0.12
48.20385291896205,0.5073919070847656,0p12,0.12
50.0,0.5073919186205229,0p12,0.12
60.0,0.5073919521337926,0p12,0.12
70.0,0.507391965081069,0p12,0.12
80.0,0.507391972627404,0p12,0.12
90.0,0.5073919750072262,0p12,0.12
100.0,0.5073919773870481,0p12,0.12
100.0000000200007,0.5073919773870481,0p12,0.12
100.0000000200007,0.9120075613290687,0p12,0.12
103.3644029330169,0.913126712750237,0p12,0.12
103.3644029330169,0.9131267128770655,0p12,0.12
110.0,0.9145689176199698,0p12,0.12
120.0,0.9155553226423068,0p12,0.12
130.0,0.9159262544390847,0p12,0.12
140.0,0.9160665503793505,0p12,0.12
150.0,0.916119074404825,0p12,0.12
160.0,0.9161383775588946,0p12,0.12
170.0,0.9161454225353431,0p12,0.12
180.0,0.9161477049583384,0p12,0.12
190.0,0.9161489183314623,0p12,0.12
200.0,0.9161494406555724,0p12,0.12
210.0,0.9161497005371736,0p12,0.12
220.0,0.9161498073566381,0p12,0.12
230.0,0.9161498489740618,0p12,0.12
240.0,0.9161498237144512,0p12,0.12
250.0,0.9161498248931631,0p12,0.12
260.0,0.9161498212545212,0p12,0.12
270.0,0.9161498127985255,0p12,0.12
280.0,0.9161498033629049,0p12,0.12
290.0,0.916149797413383,0p12,0.12
300.0,0.916149791463861,0p12,0.12
310.0,0.9161497855143391,0p12,0.12
320.0,0.9161497795648174,0p12,0.12
330.0,0.9161497736152955,0p12,0.12
340.0,0.9161497676657736,0p12,0.12
350.0,0.9161497628326993,0p12,0.12
360.0,0.916149762440547,0p12,0.12
370.0,0.9161497620483946,0p12,0.12
380.0,0.9161497616562423,0p12,0.12
390.0,0.9161497612640898,0p12,0.12
400.0,0.9161497608719374,0p12,0.12
410.0,0.9161497604797851,0p12,0.12
420.0,0.9161497600876326,0p12,0.12
430.0,0.9161497596954803,0p12,0.12
440.0,0.9161497593033279,0p12,0.12
450.0,0.9161497589111758,0p12,0.12
460.0,0.9161497585190231,0p12,0.12
470.0,0.9161497581268707,0p12,0.12
480.0,0.9161497577347184,0p12,0.12
490.0,0.916149757342566,0p12,0.12
500.0,0.9161497572219895,0p12,0.12
510.0,0.916149757208622,0p12,0.12
520.0,0.9161497571952543,0p12,0.12
530.0,0.9161497571818865,0p12,0.12
540.0,0.916149757168519,0p12,0.12
550.0,0.9161497571551512,0p12,0.12
560.0,0.9161497571417837,0p12,0.12
570.0,0.9161497571284161,0p12,0.12
580.0,0.9161497571150483,0p12,0.12
590.0,0.9161497571016808,0p12,0.12
600.0,0.9161497570883131,0p12,0.12
610.0,0.9161497570749454,0p12,0.12
620.0,0.9161497570615779,0p12,0.12
630.0,0.9161497570482103,0p12,0.12
640.0,0.9161497570348425,0p12,0.12
650.0,0.9161497570214749,0p12,0.12
660.0,0.9161497570081074,0p12,0.12
670.0,0.9161497569947396,0p12,0.12
680.0,0.9161497569813719,0p12,0.12
690.0,0.9161497569680042,0p12,0.12
700.0,0.9161497569546366,0p12,0.12
710.0,0.9161497569412689,0p12,0.12
720.0,0.9161497569279012,0p12,0.12
730.0,0.9161497569145336,0p12,0.12
740.0,0.916149756901166,0p12,0.12
750.0,0.9161497568877982,0p12,0.12
760.0,0.9161497568744307,0p12,0.12
770.0,0.9161497568610631,0p12,0.12
780.0,0.9161497568476953,0p12,0.12
790.0,0.9161497568441678,0p12,0.12
800.0,0.9161497568439358,0p12,0.12
810.0,0.9161497568437043,0p12,0.12
820.0,0.9161497568434723,0p12,0.12
830.0,0.9161497568432405,0p12,0.12
840.0,0.9161497568430088,0p12,0.12
850.0,0.9161497568427768,0p12,0.12
860.0,0.9161497568425451,0p12,0.12
870.0,0.9161497568423131,0p12,0.12
880.0,0.9161497568420813,0p12,0.12
890.0,0.9161497568418494,0p12,0.12
900.0,0.9161497568416177,0p12,0.12
910.0,0.9161497568413857,0p12,0.12
920.0,0.9161497568411539,0p12,0.12
930.0,0.9161497568409221,0p12,0.12
940.0,0.9161497568406903,0p12,0.12
950.0,0.9161497568404585,0p12,0.12
960.0,0.9161497568402266,0p12,0.12
970.0,0.9161497568399948,0p12,0.12
980.0,0.916149756839763,0p12,0.12
990.0,0.916149756839531,0p12,0.12
1000.0,0.9161497568392992,0p12,0.12
1010.0,0.9161497568390673,0p12,0.12
1020.0,0.9161497568388355,0p12,0.12
1030.0,0.9161497568386038,0p12,0.12
1040.0,0.9161497568383717,0p12,0.12
1050.0,0.9161497568381403,0p12,0.12
1060.0,0.9161497568379082,0p12,0.12
1070.0,0.9161497568376765,0p12,0.12
1080.0,0.9161497568374446,0p12,0.12
1090.0,0.9161497568372128,0p12,0.12
1100.0,0.9161497568369809,0p12,0.12
1110.0,0.9161497568367492,0p12,0.12
1120.0,0.9161497568365171,0p12,0.12
1130.0,0.9161497568362854,0p12,0.12
1140.0,0.9161497568360535,0p12,0.12
1150.0,0.9161497568358217,0p12,0.12
1160.0,0.9161497568355897,0p12,0.12
1170.0,0.9161497568353582,0p12,0.12
1180.0,0.9161497568351262,0p12,0.12
1190.0,0.9161497568348945,0p12,0.12
1200.0,0.9161497568346625,0p12,0.12
1210.0,0.9161497568344308,0p12,0.12
1220.0,0.9161497568341987,0p12,0.12
1230.0,0.916149756833967,0p12,0.12
1240.0,0.9161497568337352,0p12,0.12
1250.0,0.9161497568335033,0p12,0.12
1260.0,0.9161497568332715,0p12,0.12
1270.0,0.9161497568330397,0p12,0.12
1280.0,0.9161497568328077,0p12,0.12
1290.0,0.916149756832576,0p12,0.12
1300.0,0.9161497568323442,0p12,0.12
1310.0,0.9161497568321124,0p12,0.12
1320.0,0.9161497568318806,0p12,0.12
1330.0,0.9161497568316486,0p12,0.12
