time,LineB2B5.P1Pu,case,parameter_value
0.0,0.3400127826263979,0p24,0.24
2.220446049250313e-16,0.3400127826966988,0p24,0.24
2.220446049250313e-16,0.3400127827669998,0p24,0.24
0.008999999999255305,0.3400128140933286,0p24,0.24
0.008999999999255305,0.3400128141636295,0p24,0.24
0.01397291863311,0.3400128314261694,0p24,0.24
0.01397291863311,0.3400128314964703,0p24,0.24
5.595279544781407,0.3400279542083239,0p24,0.24
5.595279544781407,0.3400279542786299,0p24,0.24
5.597479980959316,0.3400279586388615,0p24,0.24
5.597479980959316,0.3400279587091676,0p24,0.24
10.0,0.340035197342686,0p24,0.24
15.73068778412549,0.3400411770636528,0p24,0.24
15.73068778412549,0.3400411771339634,0p24,0.24
15.73282126592688,0.3400411786113444,0p24,0.24
15.73282126592688,0.3400411786816549,0p24,0.24
20.0,0.3400435679855761,0p24,0.24
30.0,0.340046339911809,0p24,0.24
40.0,0.3400477053913869,0p24,0.24
50.0,0.3400483236843267,0p24,0.24
60.0,0.3400486293702767,0p24,0.24
70.0,0.3400486968416471,0p24,0.24
80.0,0.3400486571480751,0p24,0.24
90.0,0.3400486284683605,0p24,0.24
100.0,0.3400486140723538,0p24,0.24
100.0000000200005,0.3400486140723537,0p24,0.24
100.0000000200005,0.6572052466791565,0p24,0.24
104.2932839012848,0.6581646942035959,0p24,0.24
104.2932839012848,0.658164694457039,0p24,0.24
110.0,0.658983276610572,0p24,0.24
120.0,0.6596728111398462,0p24,0.24
130.0,0.6599313478008475,0p24,0.24
140.0,0.6600295644364459,0p24,0.24
150.0,0.6600665032781176,0p24,0.24
160.0,0.6600794740484728,0p24,0.24
170.0,0.6600844858443282,0p24,0.24
180.0,0.6600867027140108,0p24,0.24
190.0,0.6600875888145746,0p24,0.24
200.0,0.6600880653083417,0p24,0.24
210.0,0.6600881540641551,0p24,0.24
220.0,0.6600882428199688,0p24,0.24
230.0,0.6600882792558442,0p24,0.24
240.0,0.6600883080043793,0p24,0.24
250.0,0.6600883196109756,0p24,0.24
260.0,0.6600883251673838,0p24,0.24
270.0,0.6600883307237921,0p24,0.24
280.0,0.6600883362802001,0p24,0.24
290.0,0.6600883394866566,0p24,0.24
300.0,0.6600883400811322,0p24,0.24
310.0,0.6600883406756076,0p24,0.24
320.0,0.660088341270083,0p24,0.24
330.0,0.6600883418645584,0p24,0.24
340.0,0.6600883424590339,0p24,0.24
350.0,0.6600883430535094,0p24,0.24
360.0,0.6600883436479847,0p24,0.24
370.0,0.6600883442424605,0p24,0.24
380.0,0.6600883443082993,0p24,0.24
390.0,0.6600883443419069,0p24,0.24
400.0,0.6600883443755147,0p24,0.24
410.0,0.6600883444091222,0p24,0.24
420.0,0.6600883444427299,0p24,0.24
430.0,0.6600883444763375,0p24,0.24
440.0,0.6600883445099451,0p24,0.24
450.0,0.6600883445435529,0p24,0.24
460.0,0.6600883445771605,0p24,0.24
470.0,0.660088344610768,0p24,0.24
480.0,0.6600883446443757,0p24,0.24
490.0,0.6600883446779834,0p24,0.24
500.0,0.660088344711591,0p24,0.24
510.0,0.6600883447451985,0p24,0.24
520.0,0.6600883447788062,0p24,0.24
530.0,0.6600883448124137,0p24,0.24
540.0,0.6600883448460215,0p24,0.24
550.0,0.6600883448509016,0p24,0.24
560.0,0.6600883448518795,0p24,0.24
570.0,0.6600883448528573,0p24,0.24
580.0,0.6600883448538352,0p24,0.24
590.0,0.6600883448548129,0p24,0.24
600.0,0.6600883448557907,0p24,0.24
610.0,0.6600883448567686,0p24,0.24
620.0,0.6600883448577465,0p24,0.24
630.0,0.6600883448587243,0p24,0.24
640.0,0.6600883448597021,0p24,0.24
650.0,0.66008834486068,0p24,0.24
660.0,0.6600883448616578,0p24,0.24
670.0,0.6600883448626357,0p24,0.24
680.0,0.6600883448636136,0p24,0.24
690.0,0.6600883448645913,0p24,0.24
700.0,0.6600883448655692,0p24,0.24
710.0,0.6600883448665471,0p24,0.24
720.0,0.6600883448675249,0p24,0.24
730.0,0.6600883448685027,0p24,0.24
740.0,0.6600883448694805,0p24,0.24
750.0,0.6600883448704584,0p24,0.24
760.0,0.6600883448714362,0p24,0.24
770.0,0.660088344872414,0p24,0.24
780.0,0.6600883448733919,0p24,0.24
790.0,0.6600883448743696,0p24,0.24
800.0,0.6600883448753475,0p24,0.24
810.0,0.6600883448763254,0p24,0.24
820.0,0.6600883448773032,0p24,0.24
830.0,0.660088344878281,0p24,0.24
840.0,0.6600883448792589,0p24,0.24
850.0,0.6600883448802367,0p24,0.24
860.0,0.6600883448812145,0p24,0.24
870.0,0.6600883448821924,0p24,0.24
880.0,0.6600883448831701,0p24,0.24
890.0,0.6600883448834195,0p24,0.24
900.0,0.660088344883434,0p24,0.24
910.0,0.6600883448834485,0p24,0.24
920.0,0.6600883448834629,0p24,0.24
930.0,0.6600883448834773,0p24,0.24
940.0,0.6600883448834918,0p24,0.24
950.0,0.6600883448835061,0p24,0.24
960.0,0.6600883448835208,0p24,0.24
970.0,0.6600883448835351,0p24,0.24
980.0,0.6600883448835495,0p24,0.24
990.0,0.660088344883564,0p24,0.24
1000.0,0.6600883448835784,0p24,0.24
1010.0,0.6600883448835929,0p24,0.24
1020.0,0.6600883448836072,0p24,0.24
1030.0,0.6600883448836218,0p24,0.24
1040.0,0.6600883448836361,0p24,0.24
1050.0,0.6600883448836505,0p24,0.24
1060.0,0.6600883448836651,0p24,0.24
1070.0,0.6600883448836796,0p24,0.24
1080.0,0.6600883448836941,0p24,0.24
1090.0,0.6600883448837085,0p24,0.24
1100.0,0.6600883448837228,0p24,0.24
1110.0,0.6600883448837372,0p24,0.24
1120.0,0.6600883448837517,0p24,0.24
1130.0,0.6600883448837661,0p24,0.24
1140.0,0.6600883448837805,0p24,0.24
1150.0,0.660088344883795,0p24,0.24
1160.0,0.6600883448838095,0p24,0.24
